,chemical formula,supercell,phase,i,degeneracy,total energy [eV],ref. total energy [meV/f.u.],directory
2030,Hf29La2O63Si,222,61,238,1,-12839944.875236,19.97596895694733,Hf29La2O63Si_sc222/No61/238
2031,Hf29La2O63Si,222,61,239,1,-12839944.8904435,19.495732009410855,Hf29La2O63Si_sc222/No61/239
2032,Hf29La2O63Si,222,61,240,1,-12839944.886767099,19.611828982830048,Hf29La2O63Si_sc222/No61/240
2033,Hf29La2O63Si,222,14,247,1,-12839945.6237101,-3.6600552201271057,Hf29La2O63Si_sc222/No14/247
2034,Hf29La2O63Si,222,14,248,1,-12839945.180259598,10.343644797801973,Hf29La2O63Si_sc222/No14/248
2035,Hf29La2O63Si,222,14,249,1,-12839946.761904301,-39.60302996635436,Hf29La2O63Si_sc222/No14/249
2036,Hf29La2O63Si,222,14,250,1,-12839943.8731065,51.62216359376907,Hf29La2O63Si_sc222/No14/250
2037,Hf29La2O63Si,222,14,251,1,-12839944.772794802,23.210954129695892,Hf29La2O63Si_sc222/No14/251
2038,Hf29La2O63Si,222,14,252,1,-12839944.0791256,45.11629730463028,Hf29La2O63Si_sc222/No14/252
2039,Hf29La2O63Si,222,29,228,1,-12839945.088922698,13.227967977523804,Hf29La2O63Si_sc222/No29/228
2040,Hf29La2O63Si,222,29,229,1,-12839944.9698179,16.989172101020813,Hf29La2O63Si_sc222/No29/229
2041,Hf29La2O63Si,222,29,230,1,-12839946.032605901,-16.572554230690002,Hf29La2O63Si_sc222/No29/230
2042,Hf29La2O63Si,222,29,231,1,-12839944.0682763,45.45890682935715,Hf29La2O63Si_sc222/No29/231
2043,Hf29La2O63Si,222,29,232,1,-12839944.4599126,33.091444671154015,Hf29La2O63Si_sc222/No29/232
2044,Hf29La2O63Si,222,61,241,1,-12839945.7777752,-8.525268912315369,Hf29La2O63Si_sc222/No61/241
2045,Hf29La2O63Si,222,61,242,1,-12839945.2930156,6.782928943634032,Hf29La2O63Si_sc222/No61/242
2046,Hf29La2O63Si,222,61,243,1,-12839945.6252874,-3.709864795207977,Hf29La2O63Si_sc222/No61/243
2047,Hf29La2O63Si,222,61,244,1,-12839944.8316336,21.352886855602268,Hf29La2O63Si_sc222/No61/244
2048,Hf29La2O63Si,222,61,245,1,-12839945.088574901,13.23895102739334,Hf29La2O63Si_sc222/No61/245
2049,Hf29La2O63Si,222,61,246,1,-12839944.580956802,29.26899617910385,Hf29La2O63Si_sc222/No61/246
2050,Hf29La2O63Si,222,14,253,1,-12839945.1064815,12.673479497432707,Hf29La2O63Si_sc222/No14/253
2051,Hf29La2O63Si,222,14,254,1,-12839944.3005539,38.12382477521896,Hf29La2O63Si_sc222/No14/254
2052,Hf29La2O63Si,222,14,255,1,-12839946.279513199,-24.369626879692078,Hf29La2O63Si_sc222/No14/255
2053,Hf29La2O63Si,222,14,256,1,-12839944.2593843,39.42391735315323,Hf29La2O63Si_sc222/No14/256
2054,Hf29La2O63Si,222,14,257,1,-12839945.5349765,-0.8579415678977966,Hf29La2O63Si_sc222/No14/257
2055,Hf29La2O63Si,222,14,258,1,-12839944.9201552,18.55746793746948,Hf29La2O63Si_sc222/No14/258
2056,Hf29La2O63Si,222,29,233,1,-12839944.7911437,22.63151514530182,Hf29La2O63Si_sc222/No29/233
2057,Hf29La2O63Si,222,29,234,1,-12839945.205688499,9.540626764297484,Hf29La2O63Si_sc222/No29/234
